State,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Death/1 mil population,Total Tests,Tests/1 mil population,Population,log of total cases
AL,704420,12291,,,143666,2507,5347465,1090610,4903185,13.46513005
AK,85358,435,68199,16724,116682,595,2749094,3757929,731545,11.35460946
AZ,1016663,18853,916861,80949,139676,2590,5671392,779175,7278717,13.83203625
AR,455781,6969,425884,22928,151031,2309,4569222,1514088,3017804,13.02976771
CA,4383450,66029,2292840,2024581,110939,1671,82684535,2092632,39512223,15.29334664
CO,618072,7446,538116,72510,107328,1293,3474788,603394,5758736,13.33436023
CT,373784,8355,345489,19940,104840,2343,10500439,2945188,3565287,12.83143337
DE,120180,1887,110004,8289,123418,1938,785331,806490,973764,11.6967459
FL,3315041,44571,2345394,925076,154348,2075,36731834,1710228,21477737,15.01398055
GA,1413284,22870,1105377,285037,133110,2154,13945903,1313492,10617423,14.16142663
HI,63957,602,,,45171,425,2122428,1499025,1415872,11.06596626
ID,222552,2371,120669,99512,124535,1327,1605410,898350,1787065,12.31291606
IL,1528120,26535,1391188,110397,120592,2094,28965563,2285825,12671821,14.23954878
IN,863299,14520,765773,83006,128234,2157,12336129,1832402,6732219,13.66851638
IA,441889,6307,376954,58628,140057,1999,5716196,1811749,3155070,12.998814
KS,373171,5581,325416,42174,128092,1916,1624609,557650,2913314,12.82979204
KY,581982,7776,,,130265,1741,8063823,1804927,4467673,13.2741948
LA,692176,12582,,,148894,2707,9476019,2038382,4648794,13.44759554
ME,76289,934,,,56754,695,2998935,2230999,1344212,11.24228404
MD,498376,10024,,,82435,1658,12041049,1991678,6045680,13.11911009
MA,761906,18257,,,110541,2649,26237920,3806733,6892503,13.54357847
MI,1065671,21616,882059,161996,106707,2164,15973586,1599461,9986857,13.87911521
MN,651388,7910,631796,11682,115502,1403,11486181,2036690,5639632,13.38686075
MS,439661,8490,372119,59052,147728,2853,3461663,1163135,2976149,12.99375925
MO,760563,11234,590731,158598,123922,1830,9181654,1496010,6137428,13.54181423
MT,128098,1803,120801,5494,119855,1687,1631427,1526441,1068778,11.76055087
NE,244254,2322,,,126268,1200,2165841,1119640,1934408,12.40596395
NV,392052,6539,334636,50877,127283,2123,4051322,1315298,3080156,12.87914976
NH,108021,1420,103638,2963,79444,1044,2680986,1971732,1359711,11.59008093
NJ,1094249,26902,998438,68909,123196,3029,15075222,1697242,8882190,13.90557884
NM,233487,4529,202760,26198,111352,2160,4163289,1985517,2096829,12.36088168
NY,2352807,54852,2109600,188355,120945,2820,65445674,3364200,19453561,14.67111964
NC,1220902,14529,1112923,93450,116408,1385,15914916,1517428,10488084,14.01510049
ND,117955,1561,113952,2442,154784,2048,470636,617582,762062,11.67805847
OH,1228002,20866,1131310,75826,105055,1785,14995583,1282869,11689100,14.02089902
OK,554496,8001,524063,22432,140131,2022,4304655,1087866,3956971,13.22581487
OR,279086,3221,209669,66196,66170,764,6342503,1503769,4217737,12.53927526
PA,1303724,28315,1212225,63184,101838,2212,15994860,1249404,12801989,14.08073534
RI,162969,2772,,,153837,2617,4875637,4602432,1059361,12.00131528
SC,740634,10684,587639,142311,143848,2075,9580023,1860663,5148714,13.51526186
SD,132837,2069,125398,5370,150156,2339,1372591,1551548,884659,11.79687809
TN,1061228,13518,965523,82187,155396,1979,9152069,1340143,6829174,13.87493729
TX,3637058,57624,3258367,321067,125434,1987,37714012,1300668,28995881,15.10668567
UT,466107,2640,439263,24204,145388,823,5703380,1778994,3205958,13.0521705
VT,28399,277,25349,2773,45512,444,1904893,3052767,623989,10.25410921
VA,769842,11861,,,90193,1390,11623166,1361741,8535519,13.55394058
WA,569103,6680,246688,315735,74736,877,9536067,1252292,7614893,13.25181672
WV,191156,3106,170386,17664,106663,1733,3408287,1901790,1792147,12.16084513
WI,736263,8496,,,126453,1459,9912911,1702537,5822434,13.50934267
WY,76007,858,70996,4153,131328,1482,893213,1543325,578759,11.23858072